numreviews,rating,title,types
384,4,George Washington Bridge,Sights & Landmarks Bridges
152,4.5,Belasco Theatre,Concerts & Shows Theaters
359,4,National Museum of Mathematics,Museums Specialty Museums
781,4.5,Governors Island National Monument,Sights & Landmarks Points of Interest & Landmarks
553,4.5,Gershwin Theater,Concerts & Shows Theaters
1569,4.5,Neue Galerie,Museums Art Museums
673,4.5,Meatpacking District,Sights & Landmarks Neighborhoods
649,4.5,Saks Fifth Avenue,Shopping Department Stores
857,4.5,One World Trade Center,Sights & Landmarks Points of Interest & Landmarks
306,4.5,Spyscape,Museums History Museums
455,4.5,Museum of Jewish Heritage,Museums Specialty Museums
2444,4.5,Lincoln Center for the Performing Arts,Concerts & Shows Theaters
1017,5,World Trade Center Memorial Foundation,Sights & Landmarks Historic Walking Areas
4646,4,Macy's Herald Square,Shopping Department Stores
3082,4.5,Whitney Museum of American Art,Museums Art Museums
606,4.5,Apollo Theater,Concerts & Shows Theaters
1576,4.5,West Village,Sights & Landmarks Neighborhoods
1001,4.5,Woolworth Building,Sights & Landmarks Architectural Buildings
268,4.5,Rockefeller Center Christmas Tree,Events Cultural Events
2864,5,Ground Zero Museum Workshop,Museums Specialty Museums
1149,4,Harlem,Sights & Landmarks Neighborhoods
816,4.5,Roosevelt Island,Nature & Parks Islands
806,4.5,New-York Historical Society Museum & Library,Museums Specialty Museums
1918,4,United Nations Headquarters,Sights & Landmarks Government Buildings
3346,4.5,Flatiron Building,Sights & Landmarks Architectural Buildings
714,4.5,The Vessel,Sights & Landmarks Points of Interest & Landmarks
1941,4.5,The Morgan Library & Museum,Traveler Resources Museums
3531,4.5,Washington Square Park,Sights & Landmarks Nature & Parks
8482,4.5,Fifth Avenue,Sights & Landmarks Points of Interest & Landmarks
3804,4.5,SoHo,Sights & Landmarks Neighborhoods
6405,4.5,Tenement Museum,Museums Specialty Museums
3018,4.5,Chrysler Building,Sights & Landmarks Architectural Buildings
3052,4.5,Ellis Island Immigration Museum,Museums Specialty Museums
3598,4.5,The Roosevelt Island Tramway,Transportation Tramways
8558,5,Frick Collection,Museums Art Museums
271,4.5,Sea Glass Carousel,Sights & Landmarks Points of Interest & Landmarks
1506,4.5,Cathedral Church of Saint John the Divine,Sights & Landmarks Sacred & Religious Sites
185,4.5,Lyric Theatre,Concerts & Shows Theaters
228,5,KGB Espionage Museum,Museums History Museums
3648,4,Century 21,Shopping Department Stores
725,4.5,Bethesda Fountain,Sights & Landmarks Fountains
723,4.5,Grand Central Market,Shopping Sights & Landmarks
491,4.5,Broadway Theatre,Concerts & Shows Theaters
1188,4.5,Manhattan Bridge,Sights & Landmarks Bridges
253,4.5,Minskoff Theatre,Concerts & Shows Theaters
1782,4,"Strawberry Fields, John Lennon Memorial",Sights & Landmarks Nature & Parks
352,4.5,St. Patrick's Old Cathedral,Sights & Landmarks Sacred & Religious Sites
569,4.5,Columbia University,Sights & Landmarks Educational sites
624,4.5,New Amsterdam Theater,Concerts & Shows Theaters
255,4.5,NFL Experience Times Square,Sights & Landmarks Arenas & Stadiums
1412,4.5,Union Square,Nature & Parks Sights & Landmarks
543,4.5,Brookfield Place,Shopping Shopping Malls
266,5,Kings County Distillery,Food & Drink Distilleries
1454,4.5,Trinity Church,Sights & Landmarks Sacred & Religious Sites
3416,4.5,St. Paul's Chapel,Sights & Landmarks Churches & Cathedrals
164,4.5,Macy's Thanksgiving Day Parade,Events Cultural Events
440,4.5,Museum at Eldridge Street,Museums Specialty Museums
754,4.5,Majestic Theatre,Concerts & Shows Theaters
1163,4.5,Lower Manhattan,Sights & Landmarks Neighborhoods
259,4,Herald Square,Sights & Landmarks Points of Interest & Landmarks
155,4,Museum of Illusions,Museums Sights & Landmarks
153,4.5,Stephen Sondheim Theatre,Concerts & Shows Theaters
1548,3.5,Penn Station,Sights & Landmarks Points of Interest & Landmarks
188,4.5,Fraunces Tavern Museum,Sights & Landmarks Museums
183,4.5,Gerald Schoenfeld Theatre,Concerts & Shows Theaters
1096,3.5,Trump Tower,Sights & Landmarks Points of Interest & Landmarks
250,4.5,Studio 54,Concerts & Shows Theaters
370,4,The Shops at Columbus Circle,Shopping Shopping Malls
203,4.5,Al Hirschfeld Theatre,Concerts & Shows Theaters
345,4.5,Bethel Gospel Assembly,Sights & Landmarks Churches & Cathedrals
1302,3.5,Ripley's Believe It or Not! Times Square,Museums Specialty Museums
194,4.5,Stone Street Historic District,Sights & Landmarks Points of Interest & Landmarks
350,4,Shubert Theatre,Concerts & Shows Theaters
301,4,Richard Rodgers Theatre,Concerts & Shows Theaters
249,4.5,New York City Fire Museum,Sights & Landmarks Museums
2014,3.5,Charging Bull (Wall Street Bull),Sights & Landmarks Monuments & Statues
899,4,Bloomingdale's,Shopping Department Stores
233,4,Pier 17,Sights & Landmarks Piers & Boardwalks
201,4,Walter Kerr Theater,Concerts & Shows Theaters
3131,4,Central Park Zoo,Nature & Parks Outdoor Activities
559,4.5,Alice in Wonderland Statue,Sights & Landmarks Monuments & Statues
221,4,St James Theatre,Concerts & Shows Theaters
225,4.5,The Museum at FIT,Museums Specialty Museums
280,4,The Met Breuer,Museums Art Museums
478,4.5,St. Thomas Church,Sights & Landmarks Churches & Cathedrals
359,4,GhostBusters Firestation,Sights & Landmarks Points of Interest & Landmarks
324,4.5,New World Stages,Concerts & Shows Theaters
231,4.5,New York Harbor,Nature & Parks Bodies of Water
1250,4.5,St Joseph's Chapel Catholic Memorial at Ground Zero,Sights & Landmarks Sacred & Religious Sites
292,4.5,Merchant's House Museum,Museums History Museums
298,4.5,Westfield World Trade Center,Shopping Shopping Malls
3787,3.5,Chinatown,Sights & Landmarks Neighborhoods
458,4.5,The Jewish Museum,Museums Specialty Museums
195,4.5,Winter Garden Theatre,Concerts & Shows Theaters
412,4.5,Hayden Planetarium,Museums Observatories & Planetariums
746,4,National Museum of the American Indian,Museums Specialty Museums
135,4,Color Factory,Shopping Museums
3521,4,Little Italy,Sights & Landmarks Neighborhoods
5392,4,Solomon R. Guggenheim Museum,Museums Art Museums
283,4,Federal Reserve Bank of New York,Sights & Landmarks Museums
499,4.5,Chelsea,Sights & Landmarks Neighborhoods
384,4.5,Beacon Theatre,Concerts & Shows Theaters
376,4,Friends Building,Sights & Landmarks Points of Interest & Landmarks
689,4.5,Madison Square Park,Sights & Landmarks Points of Interest & Landmarks
899,4.5,Jazz at Lincoln Center,Sights & Landmarks Concerts & Shows
564,4.5,"Cooper Hewitt, Smithsonian Design Museum",Museums Sights & Landmarks
392,4.5,Rubin Museum of Art,Museums Art Museums
251,4.5,Times Square Church,Sights & Landmarks Churches & Cathedrals
7873,4,Madame Tussauds New York,Museums Specialty Museums
379,4.5,Conservatory Garden,Nature & Parks Gardens
1129,4.5,World Trade Center Station (PATH),Sights & Landmarks Architectural Buildings
415,4.5,42nd Street,Sights & Landmarks Points of Interest & Landmarks
337,4.5,Union Square Green Market,Shopping Flea & Street Markets
114,4,Wollman Rink,Fun & Games Sports Complexes
128,4.5,Booth Theatre,Concerts & Shows Theaters
211,4.5,Theodore Roosevelt Birthplace National Historic Site,Sights & Landmarks Museums
162,4.5,Lunt-Fontanne Theatre,Concerts & Shows Theaters
185,4.5,Williamsburg Bridge,Sights & Landmarks Bridges
155,4.5,Riverside Church,Sights & Landmarks Observation Decks & Towers
234,4,Chelsea Piers Sports & Entertainment Complex,Fun & Games Sports Complexes
180,4.5,Marquis Theatre,Concerts & Shows Theaters
254,4.5,Upper East Side,Sights & Landmarks Neighborhoods
142,4.5,African Burial Ground National Monument,Sights & Landmarks Monuments & Statues
180,4.5,Hamilton Grange National Memorial,Sights & Landmarks Nature & Parks
432,4,The Dakota,Sights & Landmarks Historic Sites
113,4.5,NYC Ferry,Transportation Ferries
226,4.5,Irish Hunger Memorial,Sights & Landmarks Historic Sites
306,4,Time Warner Center,Sights & Landmarks Architectural Buildings
77,4.5,Balto Statue,Sights & Landmarks Monuments & Statues
301,4,General Grant National Memorial,Sights & Landmarks Points of Interest & Landmarks
268,4,Queensboro Bridge,Sights & Landmarks Bridges
279,4,TriBeCa,Sights & Landmarks Neighborhoods
838,4,Seaport District NYC,Sights & Landmarks Museums
333,4,Jacob Javits Convention Center,Traveler Resources Conference & Convention Centers
551,3.5,New York Stock Exchange,Sights & Landmarks Points of Interest & Landmarks
276,4,Children's Museum of Manhattan,Museums Children's Museums
700,4,Love Sculpture,Sights & Landmarks Points of Interest & Landmarks
111,4.5,Music Box Theatre,Concerts & Shows Theaters
121,4.5,Unisphere,Sights & Landmarks Points of Interest & Landmarks
71,4.5,Fearless Girl,Sights & Landmarks Monuments & Statues
87,4.5,Houdini Museum of New York at Fantasma Magic,Museums Specialty Museums
105,4.5,New York City Center Theater,Concerts & Shows Theaters
173,4,The Shops & Restaurants at Hudson Yards,Shopping Shopping Malls
152,4.5,Longacre Theatre,Concerts & Shows Theaters
47,5,Pip's Island,Concerts & Shows Theaters
185,4.5,Palace Theatre,Concerts & Shows Theaters
430,4,Museum of Arts and Design,Museums Specialty Museums
261,4.5,Neil Simon Theatre,Concerts & Shows Theaters
68,4.5,Hudson Theatre,Concerts & Shows Theaters
86,4,FDNY Fire Zone,Sights & Landmarks Educational sites
104,4,City Winery,Food & Drink Wineries & Vineyards
59,4.5,Bow Bridge,Sights & Landmarks Points of Interest & Landmarks
315,4,Ambassador Theatre,Concerts & Shows Theaters
75,4.5,Governors Island,Nature & Parks Islands
182,4.5,Circle In The Square Theatre,Concerts & Shows Theaters
122,4,PATH,Transportation Mass Transportation Systems
103,4,Ed Sullivan Theater,Concerts & Shows Sights & Landmarks
179,4,Koreatown,Sights & Landmarks Neighborhoods
119,4.5,Museum of Chinese in  America,Museums Specialty Museums
8,4,Showfields,Shopping Shopping Malls
2272,4.5,Christmas Spectacular Starring the Radio City Rockettes,"Events,Cultural Events"
2692,4.5,Gulliver's Gate,"Museums,Specialty Museums"
9277,4.5,Chelsea Market,"Shopping,Flea & Street Markets"
8870,4.5,Madison Square Garden,"Sights & Landmarks,Arenas & Stadiums"
24976,4.5,American Museum of Natural History,"Museums,Natural History Museums"
2333,4.5,The Oculus,"Sights & Landmarks,Architectural Buildings"
17524,4.5,The Museum of Modern Art,"Museums,Art Museums"
92537,4.5,The National 9/11 Memorial & Museum,"Sights & Landmarks,Museums"
7107,4.5,Ellis Island,"Museums,Sights & Landmarks"
22085,4.5,Staten Island Ferry,"Transportation,Ferries"
3767,4.5,Greenwich Village,"Sights & Landmarks,Neighborhoods"
14360,4.5,St. Patrick's Cathedral,"Sights & Landmarks,Churches & Cathedrals"
13966,4.5,New York Public Library,"Museums,Specialty Museums"
24598,4.5,Rockefeller Center,"Sights & Landmarks,Points of Interest & Landmarks"
8955,4.5,Radio City Music Hall,"Sights & Landmarks,Concerts & Shows"
9135,4.5,"Intrepid Sea, Air & Space Museum","Museums,Specialty Museums"
4983,4.5,The Met Cloisters,"Sights & Landmarks,Museums"
29542,4.5,Broadway,"Sights & Landmarks,Points of Interest & Landmarks"
43086,4.5,Grand Central Terminal,"Sights & Landmarks,Points of Interest & Landmarks"
26351,4.5,One World Observatory,"Sights & Landmarks,Observation Decks & Towers"
61087,4.5,The High Line,"Nature & Parks,Sights & Landmarks"
20762,5,Manhattan Skyline,"Sights & Landmarks,Points of Interest & Landmarks"
23848,4.5,Brooklyn Bridge,"Sights & Landmarks,Bridges"
42254,4.5,Statue of Liberty,"Sights & Landmarks,Points of Interest & Landmarks"
77381,4.5,Top of the Rock,"Sights & Landmarks,Lookouts"
53764,5,The Metropolitan Museum of Art,"Sights & Landmarks,Museums"
86585,4.5,Empire State Building,"Sights & Landmarks,Points of Interest & Landmarks"
130083,4.5,Central Park,"Sights & Landmarks,Nature & Parks"
